Name,ID,Ligand,Action,Value,Parameter,Uniprot,Class
5-HT1Areceptor,46,ocaperidone,Fullagonist,8.0,pKi,P08908,agonists
5-HT1Areceptor,35,bromocriptine,Partialagonist,7.9,pKi,P08908,agonists
5-HT1Areceptor,36,buspirone,Partialagonist,7.7–8.0,pKi,P08908,agonists
5-HT1Areceptor,7351,vortioxetine,Partialagonist,7.8,pKi,P08908,agonists
5-HT1Areceptor,20,LY334370,Fullagonist,7.8,pKi,P08908,agonists
5-HT1Areceptor,10,BRL-15572,Partialagonist,7.7,pKi,P08908,agonists
5-HT1Areceptor,37,cabergoline,Fullagonist,7.7,pKi,P08908,agonists
5-HT1Areceptor,39,donitriptan,Fullagonist,7.6,pKi,P08908,agonists
5-HT1Areceptor,40,eletriptan,Fullagonist,7.4,pKi,P08908,agonists
5-HT1Areceptor,45,naratriptan,Fullagonist,7.1–7.6,pKi,P08908,agonists
5-HT1Areceptor,44,nafadotride,Fullagonist,7.3,pKi,P08908,agonists
5-HT1Areceptor,8435,LP-44,Agonist,7.3,pKi,P08908,agonists
5-HT1Areceptor,7191,frovatriptan,Agonist,7.2,pKi,P08908,agonists
5-HT1Areceptor,8434,LP-12,Agonist,7.2,pKi,P08908,agonists
5-HT1Areceptor,8,BMY-14802,Fullagonist,7.2,pKi,P08908,agonists
5-HT1Areceptor,57,xanomeline,Fullagonist,7.2,pKi,P08908,agonists
5-HT1Areceptor,10446,avitriptan,Agonist,7.2,pKi,P08908,agonists
5-HT1Areceptor,14,GR127935,Partialagonist,7.1–7.2,pKi,P08908,agonists
5-HT1Areceptor,33,apomorphine,Partialagonist,6.9,pKi,P08908,agonists
5-HT1Areceptor,38,clozapine,Fullagonist,6.8–6.9,pKi,P08908,agonists
5-HT1Areceptor,12,EMDT,Fullagonist,6.8,pKi,P08908,agonists
5-HT1Areceptor,41,fluparoxan,Partialagonist,6.8,pKi,P08908,agonists
5-HT1Areceptor,8436,LP-211,Agonist,6.7,pKi,P08908,agonists
5-HT1Areceptor,60,zolmitriptan,Fullagonist,6.6,pKi,P08908,agonists
5-HT1Areceptor,50,quetiapine,Fullagonist,6.5–6.6,pKi,P08908,agonists
5-HT1Areceptor,49,piribedil,Partialagonist,6.4,pKi,P08908,agonists
5-HT1Areceptor,51,rizatriptan,Fullagonist,6.4,pKi,P08908,agonists
5-HT1Areceptor,21,LY344864,Fullagonist,6.3,pKi,P08908,agonists
5-HT1Areceptor,28,SB216641,Partialagonist,6.3,pKi,P08908,agonists
5-HT1Areceptor,11,CP93129,Fullagonist,6.1,pKi,P08908,agonists
5-HT1Areceptor,29,capeserod,Partialagonist,6.0,pKi,P08908,agonists
5-HT1Areceptor,54,sumatriptan,Fullagonist,6.0,pKi,P08908,agonists
5-HT1Areceptor,2,quinpirole,Fullagonist,5.8,pKi,P08908,agonists
5-HT1Areceptor,47,olanzapine,Fullagonist,5.6–5.8,pKi,P08908,agonists
5-HT1Areceptor,7427,vilazodone,Partialagonist,9.5,pIC50,P08908,agonists
5-HT1Areceptor,9,BMY-7378,Partialagonist,6.8–8.0,pIC50,P08908,agonists
5-HT1Areceptor,16,"L-772,405",Fullagonist,7.2,pIC50,P08908,agonists
5-HT1Areceptor,10454,SEP-363856,Agonist,5.6,pIC50,P08908,agonists
5-HT1Areceptor,82,[3H]robalzotan,Antagonist,9.8,pKd,P08908,antagonists
5-HT1Areceptor,3251,[3H]WAY100635,Antagonist,9.5,pKd,P08908,antagonists
5-HT1Areceptor,81,[3H]p-MPPF,Antagonist,8.4,pKd,P08908,antagonists
5-HT1Areceptor,74,Rec15/3079,Antagonist,9.7,pKi,P08908,antagonists
5-HT1Areceptor,73,NAN190,Antagonist,9.4,pKi,P08908,antagonists
5-HT1Areceptor,95,repinotan,Antagonist,9.4,pKi,P08908,antagonists
5-HT1Areceptor,72,robalzotan,Antagonist,9.2,pKi,P08908,antagonists
5-HT1Areceptor,76,SB649915,Antagonist,8.6,pKi,P08908,antagonists
5-HT1Areceptor,80,WAY-100635,Antagonist,7.9–9.2,pKi,P08908,antagonists
5-HT1Areceptor,68,p-MPPI,Antagonist,8.4,pKi,P08908,antagonists
5-HT1Areceptor,101,tiospirone,Antagonist,8.3,pKi,P08908,antagonists
5-HT1Areceptor,64,(-)-tertatolol,Antagonist,8.2,pKi,P08908,antagonists
5-HT1Areceptor,91,pindolol,Antagonist,8.1,pKi,P08908,antagonists
5-HT1Areceptor,75,SB272183,Antagonist,8.0,pKi,P08908,antagonists
5-HT1Areceptor,79,WAY-100135,Antagonist,8.0,pKi,P08908,antagonists
5-HT1Areceptor,89,methiothepin,Antagonist,7.8–8.1,pKi,P08908,antagonists
5-HT1Areceptor,61,(S)-UH301,Antagonist,7.9,pKi,P08908,antagonists
5-HT1Areceptor,99,spiperone,Antagonist,6.7–8.8,pKi,P08908,antagonists
5-HT1Areceptor,63,(-)-propranolol,Antagonist,7.5,pKi,P08908,antagonists
5-HT1Areceptor,66,(S)-flurocarazolol,Antagonist,7.5,pKi,P08908,antagonists
5-HT1Areceptor,93,pizotifen,Antagonist,7.4,pKi,P08908,antagonists
5-HT1Areceptor,69,"GR125,743",Antagonist,7.3,pKi,P08908,antagonists
5-HT1Areceptor,102,yohimbine,Antagonist,7.3,pKi,P08908,antagonists
5-HT1Areceptor,85,fluspirilene,Antagonist,7.2,pKi,P08908,antagonists
5-HT1Areceptor,100,thioridazine,Antagonist,7.1,pKi,P08908,antagonists
5-HT1Areceptor,87,iloperidone,Antagonist,7.0,pKi,P08908,antagonists
5-HT1Areceptor,7227,mesoridazine,Antagonist,7.0,pKi,P08908,antagonists
5-HT1Areceptor,70,"GR218,231",Antagonist,6.8,pKi,P08908,antagonists
5-HT1Areceptor,87,iloperidone,Antagonist,6.8,pKi,P08908,antagonists
5-HT1Areceptor,90,pimozide,Antagonist,6.8,pKi,P08908,antagonists
5-HT1Areceptor,65,(R)-flurocarazolol,Antagonist,6.5,pKi,P08908,antagonists
5-HT1Areceptor,77,SB714786,Antagonist,6.5,pKi,P08908,antagonists
5-HT1Areceptor,98,sertindole,Antagonist,6.4–6.6,pKi,P08908,antagonists
5-HT1Areceptor,103,zotepine,Antagonist,6.5,pKi,P08908,antagonists
5-HT1Areceptor,96,risperidone,Antagonist,6.4–6.5,pKi,P08908,antagonists
5-HT1Areceptor,62,(+)-butaclamol,Antagonist,6.4,pKi,P08908,antagonists
5-HT1Areceptor,84,cyamemazine,Antagonist,6.3,pKi,P08908,antagonists
5-HT1Areceptor,67,9-OH-risperidone,Antagonist,6.2,pKi,P08908,antagonists
5-HT1Areceptor,83,chlorpromazine,Antagonist,6.2,pKi,P08908,antagonists
5-HT1Areceptor,96,risperidone,Antagonist,6.2,pKi,P08908,antagonists
5-HT1Areceptor,71,MPDT,Antagonist,5.8,pKi,P08908,antagonists
5-HT1Areceptor,86,haloperidol,Antagonist,5.7–5.8,pKi,P08908,antagonists
5-HT1Areceptor,92,pipamperone,Antagonist,5.6,pKi,P08908,antagonists
5-HT1Areceptor,94,raclopride,Antagonist,5.2,pKi,P08908,antagonists
5-HT1Areceptor,88,ketanserin,Antagonist,5.0,pKi,P08908,antagonists
5-HT1Areceptor,78,SDZ-216525,Antagonist,7.8–8.2,pIC50,P08908,antagonists
5-HT1Areceptor,97,ritanserin,Antagonist,5.2–5.5,pIC50,P08908,antagonists
5-HT1Areceptor,3227,p-[18F]MPPF,Antagonist,-,-,P08908,antagonists
5-HT1Areceptor,3252,[11C]WAY100635,Antagonist,-,-,P08908,antagonists
5-HT1Breceptor,3219,[3H]N-methyl-AZ10419369,Partialagonist,9.4,pKd,P28222,agonists
5-HT1Breceptor,31,[3H]8-OH-DPAT,Fullagonist,8.9,pKd,P28222,agonists
5-HT1Breceptor,3250,[125I]GTI,Agonist,8.9,pKd,P28222,agonists
5-HT1Breceptor,117,[3H]alniditan,Fullagonist,8.6–9.0,pKd,P28222,agonists
5-HT1Breceptor,118,[3H]eletriptan,Partialagonist,8.5,pKd,P28222,agonists
5-HT1Breceptor,119,[3H]sumatriptan,Partialagonist,8.0,pKd,P28222,agonists
5-HT1Breceptor,5,5-hydroxytryptamine,Fullagonist,7.5–8.4,pKd,P28222,agonists
5-HT1Breceptor,39,donitriptan,Partialagonist,9.7,pKi,P28222,agonists
5-HT1Breceptor,124,oxymetazoline,Fullagonist,9.5,pKi,P28222,agonists
5-HT1Breceptor,14,GR127935,Partialagonist,9.0–9.8,pKi,P28222,agonists
5-HT1Breceptor,39,donitriptan,Fullagonist,9.4,pKi,P28222,agonists
5-HT1Breceptor,15,"L-694,247",Fullagonist,9.2,pKi,P28222,agonists
5-HT1Breceptor,28,SB216641,Partialagonist,9.0,pKi,P28222,agonists
5-HT1Breceptor,120,alniditan,Fullagonist,8.8–9.0,pKi,P28222,agonists
5-HT1Breceptor,6,7-methoxy-1-naphthylpiperazine,Fullagonist,8.7,pKi,P28222,agonists
5-HT1Breceptor,3221,CP94253,Fullagonist,8.7,pKi,P28222,agonists
5-HT1Breceptor,121,dihydroergotamine,Fullagonist,8.0–9.2,pKi,P28222,agonists
5-HT1Breceptor,109,CGS-12066,Fullagonist,8.1–8.7,pKi,P28222,agonists
5-HT1Breceptor,59,ziprasidone,Fullagonist,8.3,pKi,P28222,agonists
5-HT1Breceptor,4,5-CT,Fullagonist,7.7–8.8,pKi,P28222,agonists
5-HT1Breceptor,5,5-hydroxytryptamine,Fullagonist,7.4–9.0,pKi,P28222,agonists
5-HT1Breceptor,106,5-(nonyloxy)-tryptamine,Fullagonist,8.2,pKi,P28222,agonists
5-HT1Breceptor,123,lysergol,Fullagonist,7.5–8.9,pKi,P28222,agonists
5-HT1Breceptor,4,5-CT,Fullagonist,8.1,pKi,P28222,agonists
5-HT1Breceptor,5,5-hydroxytryptamine,Fullagonist,8.1,pKi,P28222,agonists
5-HT1Breceptor,22,asenapine,Fullagonist,8.1,pKi,P28222,agonists
5-HT1Breceptor,23,RU24969,Fullagonist,8.1,pKi,P28222,agonists
5-HT1Breceptor,45,naratriptan,Partialagonist,8.1,pKi,P28222,agonists
5-HT1Breceptor,40,eletriptan,Fullagonist,8.0,pKi,P28222,agonists
5-HT1Breceptor,7191,frovatriptan,Agonist,8.0,pKi,P28222,agonists
5-HT1Breceptor,108,"BMS181,101",Partialagonist,7.6–8.1,pKi,P28222,agonists
5-HT1Breceptor,3,1-naphthylpiperazine,Fullagonist,7.7–7.9,pKi,P28222,agonists
5-HT1Breceptor,43,lisuride,Partialagonist,7.7,pKi,P28222,agonists
5-HT1Breceptor,60,zolmitriptan,Partialagonist,7.7,pKi,P28222,agonists
5-HT1Breceptor,10446,avitriptan,Agonist,7.7,pKi,P28222,agonists
5-HT1Breceptor,7351,vortioxetine,Partialagonist,7.5,pKi,P28222,agonists
5-HT1Breceptor,10446,avitriptan,Agonist,7.4,pKi,P28222,agonists
5-HT1Breceptor,107,5-MeOT,Fullagonist,7.3–7.5,pKi,P28222,agonists
5-HT1Breceptor,122,dipropyl-5-CT,Fullagonist,7.4,pKi,P28222,agonists
5-HT1Breceptor,54,sumatriptan,Partialagonist,6.5–8.1,pKi,P28222,agonists
5-HT1Breceptor,57,xanomeline,Fullagonist,7.3,pKi,P28222,agonists
5-HT1Breceptor,51,rizatriptan,Partialagonist,6.9,pKi,P28222,agonists
5-HT1Breceptor,114,"L-775,606",Partialagonist,6.3–6.9,pKi,P28222,agonists
5-HT1Breceptor,48,pergolide,Fullagonist,6.6,pKi,P28222,agonists
5-HT1Breceptor,56,terguride,Partialagonist,6.6,pKi,P28222,agonists
5-HT1Breceptor,115,TFMPP,Fullagonist,6.2–6.9,pKi,P28222,agonists
5-HT1Breceptor,35,bromocriptine,Partialagonist,6.5,pKi,P28222,agonists
5-HT1Breceptor,21,LY344864,Fullagonist,6.3,pKi,P28222,agonists
5-HT1Breceptor,37,cabergoline,Fullagonist,6.3,pKi,P28222,agonists
5-HT1Breceptor,47,olanzapine,Fullagonist,6.3,pKi,P28222,agonists
5-HT1Breceptor,125,tryptamine,Fullagonist,6.3,pKi,P28222,agonists
5-HT1Breceptor,38,clozapine,Fullagonist,6.2,pKi,P28222,agonists
5-HT1Breceptor,10,BRL-15572,Partialagonist,6.1,pKi,P28222,agonists
5-HT1Breceptor,34,aripiprazole,Fullagonist,6.1,pKi,P28222,agonists
5-HT1Breceptor,218,2-methyl-5-HT,Fullagonist,6.1,pKi,P28222,agonists
5-HT1Breceptor,52,roxindole,Partialagonist,5.8–6.0,pKi,P28222,agonists
5-HT1Breceptor,29,capeserod,Partialagonist,5.3,pKi,P28222,agonists
5-HT1Breceptor,7110,almotriptan,Agonist,7.9,pIC50,P28222,agonists
5-HT1Breceptor,110,CP-122288,Fullagonist,7.6,pIC50,P28222,agonists
5-HT1Breceptor,16,"L-772,405",Fullagonist,6.8,pIC50,P28222,agonists
5-HT1Breceptor,7,8-OH-DPAT,Fullagonist,6.2,pIC50,P28222,agonists
5-HT1Breceptor,3926,[11C]AZ10419369,Partialagonist,-,-,P28222,agonists
5-HT1Breceptor,113,GR-55562,Antagonist,7.4,pKB,P28222,antagonists
5-HT1Breceptor,131,"[3H]GR125,743",Antagonist,8.6–9.2,pKd,P28222,antagonists
5-HT1Breceptor,14,GR127935,Antagonist,9.2,pKi,P28222,antagonists
5-HT1Breceptor,128,5-OH-DPAT,Antagonist,8.4,pKi,P28222,antagonists
5-HT1Breceptor,130,SB224289,Inverseagonist,8.2–8.6,pKi,P28222,antagonists
5-HT1Breceptor,88,ketanserin,Antagonist,8.3,pKi,P28222,antagonists
5-HT1Breceptor,99,spiperone,Antagonist,8.3,pKi,P28222,antagonists
5-HT1Breceptor,102,yohimbine,Antagonist,8.3,pKi,P28222,antagonists
5-HT1Breceptor,135,mianserin,Antagonist,8.3,pKi,P28222,antagonists
5-HT1Breceptor,3231,SB236057,Inverseagonist,8.2,pKi,P28222,antagonists
5-HT1Breceptor,75,SB272183,Antagonist,8.1,pKi,P28222,antagonists
5-HT1Breceptor,127,(-)-pindolol,Antagonist,8.1,pKi,P28222,antagonists
5-HT1Breceptor,132,cyanopindolol,Antagonist,8.1,pKi,P28222,antagonists
5-HT1Breceptor,76,SB649915,Antagonist,8.0,pKi,P28222,antagonists
5-HT1Breceptor,89,methiothepin,Inverseagonist,7.1–8.5,pKi,P28222,antagonists
5-HT1Breceptor,113,GR-55562,Antagonist,7.5,pKi,P28222,antagonists
5-HT1Breceptor,102,yohimbine,Antagonist,6.8–7.6,pKi,P28222,antagonists
5-HT1Breceptor,103,zotepine,Antagonist,7.2,pKi,P28222,antagonists
5-HT1Breceptor,133,metergoline,Antagonist,7.2,pKi,P28222,antagonists
5-HT1Breceptor,134,methysergide,Antagonist,6.6–7.6,pKi,P28222,antagonists
5-HT1Breceptor,98,sertindole,Antagonist,7.0,pKi,P28222,antagonists
5-HT1Breceptor,96,risperidone,Antagonist,6.6–7.3,pKi,P28222,antagonists
5-HT1Breceptor,136,rauwolscine,Antagonist,6.5–7.4,pKi,P28222,antagonists
5-HT1Breceptor,67,9-OH-risperidone,Antagonist,6.8,pKi,P28222,antagonists
5-HT1Breceptor,77,SB714786,Antagonist,6.7,pKi,P28222,antagonists
5-HT1Breceptor,66,(S)-flurocarazolol,Antagonist,6.5,pKi,P28222,antagonists
5-HT1Breceptor,92,pipamperone,Antagonist,6.2,pKi,P28222,antagonists
5-HT1Breceptor,65,(R)-flurocarazolol,Antagonist,6.1,pKi,P28222,antagonists
5-HT1Breceptor,129,S33084,Antagonist,6.1,pKi,P28222,antagonists
5-HT1Breceptor,126,(+)-WAY100135,Antagonist,5.8,pKi,P28222,antagonists
5-HT1Breceptor,46,ocaperidone,Antagonist,6.9–7.2,pIC50,P28222,antagonists
5-HT1Breceptor,97,ritanserin,Antagonist,6.0–6.5,pIC50,P28222,antagonists
5-HT1Breceptor,88,ketanserin,Antagonist,5.2–5.4,pIC50,P28222,antagonists
5-HT1Dreceptor,118,[3H]eletriptan,Fullagonist,9.1,pKd,P28221,agonists
5-HT1Dreceptor,262,[3H]5-CT,Agonist,9.1,pKd,P28221,agonists
5-HT1Dreceptor,31,[3H]8-OH-DPAT,Fullagonist,9.0,pKd,P28221,agonists
5-HT1Dreceptor,3250,[125I]GTI,Agonist,8.9,pKd,P28221,agonists
5-HT1Dreceptor,117,[3H]alniditan,Fullagonist,8.9–8.9,pKd,P28221,agonists
5-HT1Dreceptor,3248,[3H]5-HT,Fullagonist,8.2–8.6,pKd,P28221,agonists
5-HT1Dreceptor,119,[3H]sumatriptan,Fullagonist,8.2,pKd,P28221,agonists
5-HT1Dreceptor,39,donitriptan,Fullagonist,9.6,pKi,P28221,agonists
5-HT1Dreceptor,121,dihydroergotamine,Fullagonist,9.2–9.9,pKi,P28221,agonists
5-HT1Dreceptor,124,oxymetazoline,Partialagonist,9.4,pKi,P28221,agonists
5-HT1Dreceptor,39,donitriptan,Fullagonist,9.3,pKi,P28221,agonists
5-HT1Dreceptor,6,7-methoxy-1-naphthylpiperazine,Fullagonist,9.2,pKi,P28221,agonists
5-HT1Dreceptor,123,lysergol,Fullagonist,9.2,pKi,P28221,agonists
5-HT1Dreceptor,149,ergotamine,Agonist,9.1,pKi,P28221,agonists
5-HT1Dreceptor,3228,PNU109291,Agonist,9.1,pKi,P28221,agonists
5-HT1Dreceptor,120,alniditan,Fullagonist,8.7–9.4,pKi,P28221,agonists
5-HT1Dreceptor,15,"L-694,247",Agonist,9.0,pKi,P28221,agonists
5-HT1Dreceptor,43,lisuride,Partialagonist,9.0,pKi,P28221,agonists
5-HT1Dreceptor,59,ziprasidone,Fullagonist,9.0,pKi,P28221,agonists
5-HT1Dreceptor,4,5-CT,Fullagonist,8.6–9.2,pKi,P28221,agonists
5-HT1Dreceptor,40,eletriptan,Fullagonist,8.9,pKi,P28221,agonists
5-HT1Dreceptor,60,zolmitriptan,Fullagonist,8.9,pKi,P28221,agonists
5-HT1Dreceptor,139,lysergicacid,Fullagonist,8.8–9.0,pKi,P28221,agonists
5-HT1Dreceptor,14,GR127935,Partialagonist,8.6–9.1,pKi,P28221,agonists
5-HT1Dreceptor,45,naratriptan,Fullagonist,8.4–9.0,pKi,P28221,agonists
5-HT1Dreceptor,109,CGS-12066,Fullagonist,8.5–8.6,pKi,P28221,agonists
5-HT1Dreceptor,5,5-hydroxytryptamine,Fullagonist,8.0–9.0,pKi,P28221,agonists
5-HT1Dreceptor,22,asenapine,Fullagonist,8.4,pKi,P28221,agonists
5-HT1Dreceptor,7191,frovatriptan,Agonist,8.4,pKi,P28221,agonists
5-HT1Dreceptor,10446,avitriptan,Agonist,8.4,pKi,P28221,agonists
5-HT1Dreceptor,54,sumatriptan,Fullagonist,8.0–8.7,pKi,P28221,agonists
5-HT1Dreceptor,57,xanomeline,Fullagonist,8.2,pKi,P28221,agonists
5-HT1Dreceptor,3,1-naphthylpiperazine,Fullagonist,8.1–8.2,pKi,P28221,agonists
5-HT1Dreceptor,37,cabergoline,Partialagonist,8.1,pKi,P28221,agonists
5-HT1Dreceptor,107,5-MeOT,Fullagonist,7.4–8.7,pKi,P28221,agonists
5-HT1Dreceptor,35,bromocriptine,Partialagonist,8.0,pKi,P28221,agonists
5-HT1Dreceptor,10,BRL-15572,Partialagonist,7.9,pKi,P28221,agonists
5-HT1Dreceptor,48,pergolide,Partialagonist,7.9,pKi,P28221,agonists
5-HT1Dreceptor,51,rizatriptan,Fullagonist,7.9,pKi,P28221,agonists
5-HT1Dreceptor,56,terguride,Partialagonist,7.8,pKi,P28221,agonists
5-HT1Dreceptor,23,RU24969,Fullagonist,7.7,pKi,P28221,agonists
5-HT1Dreceptor,28,SB216641,Partialagonist,7.6,pKi,P28221,agonists
5-HT1Dreceptor,34,aripiprazole,Fullagonist,7.2,pKi,P28221,agonists
5-HT1Dreceptor,141,dimethyltryptamine,Fullagonist,7.0–7.3,pKi,P28221,agonists
5-HT1Dreceptor,115,TFMPP,Fullagonist,7.1–7.2,pKi,P28221,agonists
5-HT1Dreceptor,7,8-OH-DPAT,Fullagonist,6.9–7.3,pKi,P28221,agonists
5-HT1Dreceptor,125,tryptamine,Fullagonist,6.8–7.4,pKi,P28221,agonists
5-HT1Dreceptor,52,roxindole,Partialagonist,7.0–7.2,pKi,P28221,agonists
5-HT1Dreceptor,12,EMDT,Fullagonist,6.5,pKi,P28221,agonists
5-HT1Dreceptor,38,clozapine,Fullagonist,6.4,pKi,P28221,agonists
5-HT1Dreceptor,152,α-methyl-5-HT,Fullagonist,6.1–6.6,pKi,P28221,agonists
5-HT1Dreceptor,21,LY344864,Fullagonist,6.2,pKi,P28221,agonists
5-HT1Dreceptor,47,olanzapine,Fullagonist,6.2,pKi,P28221,agonists
5-HT1Dreceptor,218,2-methyl-5-HT,Fullagonist,5.7–6.2,pKi,P28221,agonists
5-HT1Dreceptor,50,quetiapine,Fullagonist,5.7,pKi,P28221,agonists
5-HT1Dreceptor,29,capeserod,Partialagonist,5.1,pKi,P28221,agonists
5-HT1Dreceptor,122,dipropyl-5-CT,Fullagonist,7.9,pIC50,P28221,agonists
5-HT1Dreceptor,7110,almotriptan,Agonist,7.9,pIC50,P28221,agonists
5-HT1Dreceptor,110,CP-122288,Fullagonist,7.7,pIC50,P28221,agonists
5-HT1Dreceptor,131,"[3H]GR125,743",Antagonist,8.6,pKd,P28221,antagonists
5-HT1Dreceptor,103,zotepine,Antagonist,9.3,pKi,P28221,antagonists
5-HT1Dreceptor,77,SB714786,Antagonist,9.1,pKi,P28221,antagonists
5-HT1Dreceptor,133,metergoline,Antagonist,8.6–9.2,pKi,P28221,antagonists
5-HT1Dreceptor,76,SB649915,Antagonist,8.8,pKi,P28221,antagonists
5-HT1Dreceptor,46,ocaperidone,Antagonist,8.7–8.8,pKi,P28221,antagonists
5-HT1Dreceptor,75,SB272183,Antagonist,8.7,pKi,P28221,antagonists
5-HT1Dreceptor,134,methysergide,Antagonist,8.4–8.9,pKi,P28221,antagonists
5-HT1Dreceptor,14,GR127935,Antagonist,8.3–8.6,pKi,P28221,antagonists
5-HT1Dreceptor,67,9-OH-risperidone,Antagonist,7.9,pKi,P28221,antagonists
5-HT1Dreceptor,96,risperidone,Antagonist,7.8–8.0,pKi,P28221,antagonists
5-HT1Dreceptor,144,bufotenine,Antagonist,7.7–8.0,pKi,P28221,antagonists
5-HT1Dreceptor,136,rauwolscine,Antagonist,7.8,pKi,P28221,antagonists
5-HT1Dreceptor,89,methiothepin,Inverseagonist,7.3–8.2,pKi,P28221,antagonists
5-HT1Dreceptor,97,ritanserin,Antagonist,7.6,pKi,P28221,antagonists
5-HT1Dreceptor,126,(+)-WAY100135,Antagonist,7.6,pKi,P28221,antagonists
5-HT1Dreceptor,88,ketanserin,Antagonist,7.4–7.5,pKi,P28221,antagonists
5-HT1Dreceptor,102,yohimbine,Antagonist,7.2–7.7,pKi,P28221,antagonists
5-HT1Dreceptor,98,sertindole,Antagonist,7.2,pKi,P28221,antagonists
5-HT1Dreceptor,132,cyanopindolol,Antagonist,7.1,pKi,P28221,antagonists
5-HT1Dreceptor,129,S33084,Antagonist,6.9,pKi,P28221,antagonists
5-HT1Dreceptor,92,pipamperone,Antagonist,6.8,pKi,P28221,antagonists
5-HT1Dreceptor,142,m-chlorophenylpiperazine,Antagonist,6.7,pKi,P28221,antagonists
5-HT1Dreceptor,86,haloperidol,Antagonist,6.6,pKi,P28221,antagonists
5-HT1Dreceptor,130,SB224289,Antagonist,6.3,pKi,P28221,antagonists
5-HT1Dreceptor,85,fluspirilene,Antagonist,6.0,pKi,P28221,antagonists
5-HT1Dreceptor,143,SB277011-A,Antagonist,5.8,pKi,P28221,antagonists
5-HT1Dreceptor,99,spiperone,Antagonist,5.5–6.0,pKi,P28221,antagonists
5-HT1Dreceptor,71,MPDT,Antagonist,5.2,pKi,P28221,antagonists
5-HT1Dreceptor,16,"L-772,405",Antagonist,9.0,pIC50,P28221,antagonists
5-HT1Dreceptor,7351,vortioxetine,Antagonist,5.4,pIC50,P28221,antagonists
5-ht1ereceptor,3248,[3H]5-HT,Fullagonist,8.1–8.2,pKd,P28566,agonists
5-ht1ereceptor,3927,BRL-54443,Fullagonist,8.7,pKi,P28566,agonists
5-ht1ereceptor,5,5-hydroxytryptamine,Fullagonist,8.0–8.2,pKi,P28566,agonists
5-ht1ereceptor,22,asenapine,Fullagonist,8.0,pKi,P28566,agonists
5-ht1ereceptor,45,naratriptan,Fullagonist,7.7,pKi,P28566,agonists
